Year,Units,region,GeoCode,Value
2010,proportion of r&d expenditures to gdp (%),rhineland palatinate,10,2.01446653044041
2011,proportion of r&d expenditures to gdp (%),rhineland palatinate,10,1.99579872772923
2012,proportion of r&d expenditures to gdp (%),rhineland palatinate,10,2.00869639051211
2013,proportion of r&d expenditures to gdp (%),rhineland palatinate,10,2.12127594428088
2014,proportion of r&d expenditures to gdp (%),rhineland palatinate,10,2.13672037988596
2015,proportion of r&d expenditures to gdp (%),rhineland palatinate,10,2.35383783560975
2016,proportion of r&d expenditures to gdp (%),rhineland palatinate,10,2.44
2010,proportion of r&d expenditures to gdp (%),saarland,1,1.28986999053267
2011,proportion of r&d expenditures to gdp (%),saarland,1,1.47330877511999
2012,proportion of r&d expenditures to gdp (%),saarland,1,1.45571510991189
2013,proportion of r&d expenditures to gdp (%),saarland,1,1.4410638918899
2014,proportion of r&d expenditures to gdp (%),saarland,1,1.41520731049138
2015,proportion of r&d expenditures to gdp (%),saarland,1,1.54426347838314
2016,proportion of r&d expenditures to gdp (%),saarland,1,1.55
2010,proportion of r&d expenditures to gdp (%),saxony,21,2.77921466522237
2011,proportion of r&d expenditures to gdp (%),saxony,21,2.80073135167381
2012,proportion of r&d expenditures to gdp (%),saxony,21,2.79564261505181
2013,proportion of r&d expenditures to gdp (%),saxony,21,2.75867956745413
2014,proportion of r&d expenditures to gdp (%),saxony,21,2.66979072490592
2015,proportion of r&d expenditures to gdp (%),saxony,21,2.7289225186326
2016,proportion of r&d expenditures to gdp (%),saxony,21,2.71
2010,proportion of r&d expenditures to gdp (%),saxony-anhalt,22,1.40107648125701
2011,proportion of r&d expenditures to gdp (%),saxony-anhalt,22,1.47995368450775
2012,proportion of r&d expenditures to gdp (%),saxony-anhalt,22,1.39865938953463
2013,proportion of r&d expenditures to gdp (%),saxony-anhalt,22,1.41538680155791
2014,proportion of r&d expenditures to gdp (%),saxony-anhalt,22,1.45579609679901
2015,proportion of r&d expenditures to gdp (%),saxony-anhalt,22,1.39994438944097
2016,proportion of r&d expenditures to gdp (%),saxony-anhalt,22,1.46
2010,proportion of r&d expenditures to gdp (%),schleswig-holstein,26,1.30040529798666
2011,proportion of r&d expenditures to gdp (%),schleswig-holstein,26,1.40973657053183
2012,proportion of r&d expenditures to gdp (%),schleswig-holstein,26,1.42750899309982
2013,proportion of r&d expenditures to gdp (%),schleswig-holstein,26,1.47268498110049
2014,proportion of r&d expenditures to gdp (%),schleswig-holstein,26,1.53471032131163
2015,proportion of r&d expenditures to gdp (%),schleswig-holstein,26,1.47215090246939
2016,proportion of r&d expenditures to gdp (%),schleswig-holstein,26,1.49
2010,proportion of r&d expenditures to gdp (%),thuringia,31,2.15872479035665
2011,proportion of r&d expenditures to gdp (%),thuringia,31,2.12353714894878
2012,proportion of r&d expenditures to gdp (%),thuringia,31,2.18950608014883
2013,proportion of r&d expenditures to gdp (%),thuringia,31,2.16028983743132
2014,proportion of r&d expenditures to gdp (%),thuringia,31,2.12848585524511
2015,proportion of r&d expenditures to gdp (%),thuringia,31,2.01208711491091
2016,proportion of r&d expenditures to gdp (%),thuringia,31,2.05
