Year,Units,Form of exploitation,Sex,Age,Value
2012,,Sexual exploitation,male (%),,4
2013,,Sexual exploitation,male (%),,4
2014,,Sexual exploitation,male (%),,5
2015,,Sexual exploitation,male (%),,4
2016,,Sexual exploitation,male (%),,5
2017,,Sexual exploitation,male (%),,1
2018,,Sexual exploitation,male (%),,
2010,,Sexual exploitation,,under 14 years (Number),8
2011,,Sexual exploitation,,under 14 years (Number),13
2012,,Sexual exploitation,,under 14 years (Number),12
2013,,Sexual exploitation,,under 14 years (Number),9
2014,,Sexual exploitation,,under 14 years (Number),5
2015,,Sexual exploitation,,under 14 years (Number),6
2016,,Sexual exploitation,,under 14 years (Number),12
2017,,Sexual exploitation,,under 14 years (Number),16
2018,,Sexual exploitation,,under 14 years (Number),
2010,,Sexual exploitation,,14 to under 18 years (Number),79
2011,,Sexual exploitation,,14 to under 18 years (Number),77
2012,,Sexual exploitation,,14 to under 18 years (Number),88
2013,,Sexual exploitation,,14 to under 18 years (Number),61
2014,,Sexual exploitation,,14 to under 18 years (Number),52
2015,,Sexual exploitation,,14 to under 18 years (Number),71
2016,,Sexual exploitation,,14 to under 18 years (Number),84
2017,,Sexual exploitation,,14 to under 18 years (Number),46
2018,,Sexual exploitation,,14 to under 18 years (Number),
2010,,Sexual exploitation,,18 to under 21 years (Number),254
2011,,Sexual exploitation,,18 to under 21 years (Number),269
2012,,Sexual exploitation,,18 to under 21 years (Number),223
2013,,Sexual exploitation,,18 to under 21 years (Number),209
2014,,Sexual exploitation,,18 to under 21 years (Number),209
2015,,Sexual exploitation,,18 to under 21 years (Number),148
2016,,Sexual exploitation,,18 to under 21 years (Number),118
2017,,Sexual exploitation,,18 to under 21 years (Number),157
2018,,Sexual exploitation,,18 to under 21 years (Number),
2010,,Sexual exploitation,,21 to under 25 years (Number),127
2011,,Sexual exploitation,,21 to under 25 years (Number),135
2012,,Sexual exploitation,,21 to under 25 years (Number),123
2013,,Sexual exploitation,,21 to under 25 years (Number),111
2014,,Sexual exploitation,,21 to under 25 years (Number),115
2015,,Sexual exploitation,,21 to under 25 years (Number),68
2016,,Sexual exploitation,,21 to under 25 years (Number),109
2017,,Sexual exploitation,,21 to under 25 years (Number),110
2018,,Sexual exploitation,,21 to under 25 years (Number),
2010,,Sexual exploitation,,25 years and over (Number),134
2011,,Sexual exploitation,,25 years and over (Number),133
2012,,Sexual exploitation,,25 years and over (Number),156
2013,,Sexual exploitation,,25 years and over (Number),142
2014,,Sexual exploitation,,25 years and over (Number),164
2015,,Sexual exploitation,,25 years and over (Number),98
2016,,Sexual exploitation,,25 years and over (Number),142
2017,,Sexual exploitation,,25 years and over (Number),149
2018,,Sexual exploitation,,25 years and over (Number),
2010,,Sexual exploitation,,unknown age,8
2011,,Sexual exploitation,,unknown age,13
2012,,Sexual exploitation,,unknown age,10
2013,,Sexual exploitation,,unknown age,10
2014,,Sexual exploitation,,unknown age,12
2015,,Sexual exploitation,,unknown age,25
2016,,Sexual exploitation,,unknown age,23
2017,,Sexual exploitation,,unknown age,11
2018,,Sexual exploitation,,unknown age,
2010,,Exploitation of labour,female (%),,24
2011,,Exploitation of labour,female (%),,75
2012,,Exploitation of labour,female (%),,
2013,,Exploitation of labour,female (%),,
2014,,Exploitation of labour,female (%),,
2015,,Exploitation of labour,female (%),,19
2016,,Exploitation of labour,female (%),,29
2017,,Exploitation of labour,female (%),,14
2018,,Exploitation of labour,female (%),,
2010,,Exploitation of labour,male (%),,76
2011,,Exploitation of labour,male (%),,25
2012,,Exploitation of labour,male (%),,
2013,,Exploitation of labour,male (%),,
2014,,Exploitation of labour,male (%),,
2015,,Exploitation of labour,male (%),,81
2016,,Exploitation of labour,male (%),,71
2017,,Exploitation of labour,male (%),,86
2018,,Exploitation of labour,male (%),,
